Azodicarboxylates,Phosphines,Temperatures,Phosphine Equiv,Azadicarboxylate Equiv.,N-Boc Pyrrolidine,Solvents,yield,purity,priority
DIAD,PCy3,20,1.2,1.2,1.05,EtOAc,PENDING,PENDING,1
DIAD,TFP,20,1.2,1.2,1.05,2-MeTHF,PENDING,PENDING,1
DBnAD,PCy3,20,1.2,1.2,1.05,MeCN,PENDING,PENDING,1
ADDP,PPh3,20,1.2,1.2,1.05,MeCN,PENDING,PENDING,1
DIAD,PCy3,20,1.2,1.2,1.05,PhMe,PENDING,PENDING,1
ADDM,TPTP,20,1.2,1.2,1.05,MeCN,PENDING,PENDING,1
DBnAD,PCy3,20,1.2,1.2,1.2,EtOAc,PENDING,PENDING,1
DBnAD,TPTP,20,1.2,1.4,1.05,MeCN,PENDING,PENDING,1
DCAD,TPTP,20,1.2,1.2,1.05,2-MeTHF,PENDING,PENDING,1
DBnAD,TFP,20,1.2,1.2,1.05,MeCN,PENDING,PENDING,1
DIAD,TFP,20,1.2,1.2,1.05,EtOAc,PENDING,PENDING,1
DCAD,TPTP,20,1.2,1.2,1.05,MeCN,PENDING,PENDING,1
DIAD,TPTP,20,1.2,1.2,1.05,PhMe,PENDING,PENDING,1
DIAD,TPTP,20,1.2,1.2,1.05,EtOAc,PENDING,PENDING,1
DIAD,Ph2PPy,20,1.2,1.2,1.05,MeCN,PENDING,PENDING,1
DCAD,Ph2PPy,20,1.2,1.2,1.2,EtOAc,PENDING,PENDING,1
DCAD,Tris-FPP,20,1.2,1.2,1.05,MeCN,PENDING,PENDING,1
DIAD,Ph2PPy,20,1.4,1.2,1.05,MeCN,PENDING,PENDING,1
DBAD,Ph2PPy,20,1.2,1.2,1.05,2-MeTHF,PENDING,PENDING,1
DBAD,TPTP,20,1.2,1.2,1.05,EtOAc,PENDING,PENDING,1
ADDP,TFP,20,1.2,1.2,1.05,MeCN,PENDING,PENDING,1
ADDP,PPh3,20,1.2,1.2,1.05,EtOAc,PENDING,PENDING,1
ADDP,TPTP,20,1.2,1.2,1.05,EtOAc,PENDING,PENDING,1
DCAD,Tris-FPP,20,1.4,1.2,1.05,MeCN,PENDING,PENDING,1
DBAD,PPh3,20,1.2,1.2,1.05,MeCN,PENDING,PENDING,1
DCAD,PPh3,20,1.2,1.2,1.05,PhMe,PENDING,PENDING,1
DBnAD,Tris-FPP,20,1.2,1.2,1.05,2-MeTHF,PENDING,PENDING,1
DBnAD,Ph2PPy,20,1.2,1.2,1.05,EtOAc,PENDING,PENDING,1
DCAD,TPTP,35,1.2,1.2,1.05,EtOAc,PENDING,PENDING,1
DIAD,PPh3,20,1.2,1.2,1.05,2-MeTHF,PENDING,PENDING,1
ADDM,TFP,20,1.2,1.2,1.05,EtOAc,PENDING,PENDING,1
DBnAD,Tris-FPP,20,1.2,1.2,1.2,EtOAc,PENDING,PENDING,1
DIAD,PPh3,20,1.2,1.2,1.2,MeCN,PENDING,PENDING,1
DBnAD,Ph2PPy,20,1.2,1.2,1.05,PhMe,PENDING,PENDING,1
DBnAD,DAP,20,1.2,1.4,1.05,EtOAc,PENDING,PENDING,1
ADDP,PPh3,20,1.2,1.2,1.05,2-MeTHF,PENDING,PENDING,1
ADDP,PCy3,20,1.2,1.2,1.05,MeCN,PENDING,PENDING,1
ADDP,Ph2PPy,20,1.2,1.2,1.05,EtOAc,PENDING,PENDING,1
ADDP,PCy3,20,1.2,1.2,1.05,PhMe,PENDING,PENDING,1
DBnAD,PPh3,20,1.2,1.2,1.05,2-MeTHF,PENDING,PENDING,1
DBAD,Tris-FPP,20,1.2,1.2,1.05,2-MeTHF,PENDING,PENDING,1
ADDP,PPh3,5,1.2,1.2,1.05,MeCN,PENDING,PENDING,1
ADDP,Tris-FPP,20,1.2,1.2,1.2,EtOAc,PENDING,PENDING,1
DBAD,PCy3,20,1.2,1.2,1.05,MeCN,PENDING,PENDING,1
DBnAD,PPh3,20,1.2,1.2,1.2,MeCN,PENDING,PENDING,1
ADDM,Ph2PPy,20,1.4,1.4,1.05,MeCN,PENDING,PENDING,1
ADDP,PCy3,20,1.2,1.2,1.05,EtOAc,PENDING,PENDING,1
DBAD,Ph2PPy,20,1.2,1.2,1.05,EtOAc,PENDING,PENDING,1
ADDP,PPh3,5,1.05,1.05,0.95,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.05,0.95,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.05,1.2,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.05,0.95,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.05,1.2,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.2,1.05,EtOAc,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.2,1.2,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.05,1.05,EtOAc,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.2,1.2,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.05,1.2,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.05,1.05,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.4,1.2,EtOAc,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.05,1.05,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.05,1.05,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.2,1.2,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.05,0.95,EtOAc,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.05,1.05,EtOAc,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.2,1.2,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.4,0.95,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.4,1.05,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.4,0.95,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.2,1.2,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.2,1.2,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.2,1.2,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.4,0.95,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.2,1.2,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.4,0.95,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.4,0.95,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.4,1.2,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.4,0.95,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.4,0.95,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.4,1.05,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.4,1.05,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.4,1.05,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.4,1.05,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.4,1.2,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.4,1.2,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.4,0.95,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.2,0.95,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.05,1.2,EtOAc,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.4,1.2,EtOAc,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.2,0.95,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.4,1.05,EtOAc,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.4,1.2,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.4,1.2,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.2,0.95,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.4,1.2,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.2,0.95,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.05,1.2,EtOAc,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.05,0.95,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.2,0.95,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.05,1.2,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.05,1.2,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.05,0.95,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.05,0.95,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.05,0.95,EtOAc,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.05,1.05,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.05,1.05,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.05,1.2,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.2,0.95,EtOAc,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.4,1.05,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.4,1.05,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.4,1.05,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.05,1.05,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.2,0.95,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.2,0.95,EtOAc,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.2,1.05,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.2,1.05,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.2,1.05,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.2,1.05,EtOAc,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.2,1.2,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.2,1.2,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.2,1.05,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.2,1.2,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.2,1.2,EtOAc,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.4,0.95,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.4,0.95,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.4,0.95,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.05,1.4,0.95,EtOAc,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.2,1.05,2-MeTHF,PENDING,PENDING,0
DIAD,PPh3,5,1.05,1.05,0.95,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.2,0.95,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.2,1.05,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.05,1.2,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.2,0.95,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.2,0.95,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.2,0.95,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.2,1.05,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.2,1.05,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.2,1.05,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.2,1.05,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.2,1.2,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.2,1.2,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.2,1.2,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.2,1.2,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.4,0.95,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.4,0.95,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.4,0.95,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.4,0.95,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.4,1.05,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.4,1.05,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.4,1.05,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.4,1.05,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.4,1.2,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.4,1.2,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.4,1.2,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.4,1.2,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.2,0.95,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.05,1.2,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.05,0.95,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.05,1.2,MeCN,PENDING,PENDING,0
DCAD,TFP,20,1.4,1.2,1.2,PhMe,PENDING,PENDING,0
DCAD,TFP,20,1.4,1.2,1.2,EtOAc,PENDING,PENDING,0
DCAD,TFP,20,1.4,1.4,0.95,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,20,1.4,1.4,0.95,MeCN,PENDING,PENDING,0
DCAD,TFP,20,1.4,1.4,0.95,PhMe,PENDING,PENDING,0
DCAD,TFP,20,1.4,1.4,0.95,EtOAc,PENDING,PENDING,0
DCAD,TFP,20,1.4,1.4,1.05,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,20,1.4,1.4,1.05,MeCN,PENDING,PENDING,0
DCAD,TFP,20,1.4,1.4,1.05,PhMe,PENDING,PENDING,0
DCAD,TFP,20,1.4,1.4,1.05,EtOAc,PENDING,PENDING,0
DCAD,TFP,20,1.4,1.4,1.2,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,20,1.4,1.4,1.2,MeCN,PENDING,PENDING,0
DCAD,TFP,20,1.4,1.4,1.2,PhMe,PENDING,PENDING,0
DCAD,TFP,20,1.4,1.4,1.2,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.05,0.95,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.05,0.95,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.05,0.95,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.05,0.95,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.05,1.05,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.05,1.05,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.05,1.05,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.05,1.05,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.05,1.05,1.2,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.05,0.95,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.05,0.95,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.2,1.05,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.4,1.05,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.4,1.05,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.4,1.2,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.4,1.2,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.4,1.2,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.4,1.2,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.05,0.95,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.05,0.95,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.05,0.95,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.05,0.95,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.05,1.05,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.05,1.05,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.05,1.05,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.05,1.05,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.05,1.2,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.05,1.2,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.05,1.2,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.05,1.2,EtOAc,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.4,1.05,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.2,0.95,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.2,0.95,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.2,0.95,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.2,1.05,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.4,1.2,1.05,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.4,1.05,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.4,1.05,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.05,0.95,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.4,0.95,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.05,1.05,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.05,1.05,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.05,1.05,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.05,1.05,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.05,1.2,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.05,1.2,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.05,1.2,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.05,1.2,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.2,0.95,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.2,0.95,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.2,0.95,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.2,0.95,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.2,1.05,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.2,1.05,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.2,1.05,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.2,1.05,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.2,1.2,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.2,1.2,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.2,1.2,PhMe,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.2,1.2,EtOAc,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.4,0.95,2-MeTHF,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.4,0.95,MeCN,PENDING,PENDING,0
DCAD,TFP,35,1.2,1.4,0.95,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.4,1.05,MeCN,PENDING,PENDING,0
ADDP,PPh3,5,1.4,1.05,1.05,PhMe,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.4,1.05,EtOAc,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.05,1.2,EtOAc,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.2,1.2,EtOAc,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.4,0.95,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.4,0.95,MeCN,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.4,0.95,PhMe,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.4,0.95,EtOAc,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.4,1.05,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.4,1.05,MeCN,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.4,1.05,PhMe,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.4,1.05,EtOAc,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.4,1.2,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.4,1.2,MeCN,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.4,1.2,PhMe,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.4,1.2,EtOAc,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.05,0.95,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.05,0.95,MeCN,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.05,0.95,PhMe,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.05,0.95,EtOAc,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.05,1.05,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.05,1.05,MeCN,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.05,1.05,PhMe,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.05,1.05,EtOAc,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.05,1.2,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.05,1.2,MeCN,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.2,1.2,PhMe,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.2,1.2,MeCN,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.2,1.2,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.05,1.05,EtOAc,PENDING,PENDING,0
ADDP,PPh3,20,1.2,1.4,1.2,MeCN,PENDING,PENDING,0
ADDP,PPh3,20,1.2,1.4,1.2,PhMe,PENDING,PENDING,0
ADDP,PPh3,20,1.2,1.4,1.2,EtOAc,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.05,0.95,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.05,0.95,MeCN,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.05,0.95,PhMe,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.05,0.95,EtOAc,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.05,1.05,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.05,1.05,MeCN,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.05,1.05,PhMe,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.05,1.2,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.2,1.05,EtOAc,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.05,1.2,MeCN,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.05,1.2,PhMe,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.05,1.2,EtOAc,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.2,0.95,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.2,0.95,MeCN,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.2,0.95,PhMe,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.2,0.95,EtOAc,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.2,1.05,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.2,1.05,MeCN,PENDING,PENDING,0
ADDP,PPh3,20,1.4,1.2,1.05,PhMe,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.05,1.2,PhMe,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.2,0.95,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,5,1.2,1.4,1.2,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.2,0.95,MeCN,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.05,1.05,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.05,1.05,MeCN,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.05,1.05,PhMe,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.05,1.05,EtOAc,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.05,1.2,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.05,1.2,MeCN,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.05,1.2,PhMe,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.05,1.2,EtOAc,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.2,0.95,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.2,0.95,MeCN,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.2,0.95,PhMe,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.2,0.95,EtOAc,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.2,1.05,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.2,1.05,MeCN,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.2,1.05,PhMe,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.2,1.05,EtOAc,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.2,1.2,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.2,1.2,MeCN,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.2,1.2,PhMe,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.2,1.2,EtOAc,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.4,0.95,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.4,0.95,MeCN,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.4,0.95,PhMe,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.05,0.95,EtOAc,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.05,0.95,PhMe,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.05,0.95,MeCN,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.4,0.95,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.2,0.95,PhMe,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.2,0.95,EtOAc,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.2,1.05,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.2,1.05,MeCN,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.2,1.05,PhMe,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.2,1.05,EtOAc,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.2,1.2,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.2,1.2,MeCN,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.2,1.2,PhMe,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.2,1.2,EtOAc,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.4,0.95,MeCN,PENDING,PENDING,0
ADDP,PPh3,35,1.2,1.05,0.95,2-MeTHF,PENDING,PENDING,0
ADDP,PPh3,35,1.05,1.4,0.95,PhMe,PENDING,PENDING,0
